Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
I22,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,10,1,DAJ_MK_MY,0.33,4.8,0,0,0
I23,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,10,2,DAJ_MK_MY,0.33,4.8,0,0,0
J2,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,10,3,DAJ_MK_MY,0.33,4.8,0,0,0
J3,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,10,1,DAJ_MK_MY,0.33,4.8,0,0,0
J4,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,10,2,DAJ_MK_MY,0.33,4.8,0,0,0
J5,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,10,3,DAJ_MK_MY,0.33,4.8,0,0,0
J6,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,10,1,DAJ_MK_MY,0.33,4.8,0,0,0
J7,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,10,2,DAJ_MK_MY,0.33,4.8,0,0,0
J8,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,10,3,DAJ_MK_MY,0.33,4.8,0,0,0
J9,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,10,1,DAJ_MK_MY,0.33,4.8,0,0,0
J10,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,10,2,DAJ_MK_MY,0.33,4.8,0,0,0
J11,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,10,3,DAJ_MK_MY,0.33,4.8,0,0,0
J12,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,15,1,DAJ_MK_MY,0.33,4.8,0,0,0
J13,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,15,2,DAJ_MK_MY,0.33,4.8,0,0,0
J14,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,15,3,DAJ_MK_MY,0.33,4.8,0,0,0
J15,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,15,1,DAJ_MK_MY,0.33,4.8,0,0,0
J16,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,15,2,DAJ_MK_MY,0.33,4.8,0,0,0
J17,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,15,3,DAJ_MK_MY,0.33,4.8,0,0,0
J18,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,15,1,DAJ_MK_MY,0.33,4.8,0,0,0
J19,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,15,2,DAJ_MK_MY,0.33,4.8,0,0,0
J20,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,15,3,DAJ_MK_MY,0.33,4.8,0,0,0
J21,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,15,1,DAJ_MK_MY,0.33,4.8,0,0,0
J22,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,15,2,DAJ_MK_MY,0.33,4.8,0,0,0
J23,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,15,3,DAJ_MK_MY,0.33,4.8,0,0,0
K2,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,15,1,DAJ_MK_MY,0.33,4.8,0,0,0
K3,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,15,2,DAJ_MK_MY,0.33,4.8,0,0,0
K4,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,15,3,DAJ_MK_MY,0.33,4.8,0,0,0
K5,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,15,1,DAJ_MK_MY,0.33,4.8,0,0,0
K6,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,15,2,DAJ_MK_MY,0.33,4.8,0,0,0
K7,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,15,3,DAJ_MK_MY,0.33,4.8,0,0,0
K8,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,20,1,DAJ_MK_MY,0.33,4.8,0,0,0
K9,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,20,2,DAJ_MK_MY,0.33,4.8,0,0,0
K10,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,20,3,DAJ_MK_MY,0.33,4.8,0,0,0
K11,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,20,1,DAJ_MK_MY,0.33,4.8,0,0,0
K12,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,20,2,DAJ_MK_MY,0.33,4.8,0,0,0
K13,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,20,3,DAJ_MK_MY,0.33,4.8,0,0,0
K14,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,20,1,DAJ_MK_MY,0.33,4.8,0,0,0
K15,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,20,2,DAJ_MK_MY,0.33,4.8,0,0,0
K16,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,20,3,DAJ_MK_MY,0.33,4.8,0,0,0
K17,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,20,1,DAJ_MK_MY,0.33,4.8,0,0,0
K18,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,20,2,DAJ_MK_MY,0.33,4.8,0,0,0
K19,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,20,3,DAJ_MK_MY,0.33,4.8,0,0,0
K20,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,20,1,DAJ_MK_MY,0.33,4.8,0,0,0
K21,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,20,2,DAJ_MK_MY,0.33,4.8,0,0,0
K22,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,20,3,DAJ_MK_MY,0.33,4.8,0,0,0
K23,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,20,1,DAJ_MK_MY,0.33,4.8,0,0,0
L2,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,20,2,DAJ_MK_MY,0.33,4.8,0,0,0
L3,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,20,3,DAJ_MK_MY,0.33,4.8,0,0,0
L4,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,30,1,DAJ_MK_MY,0.33,4.8,0,0,0
L5,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,30,2,DAJ_MK_MY,0.33,4.8,0,0,0
L6,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,30,3,DAJ_MK_MY,0.33,4.8,0,0,0
L7,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,30,1,DAJ_MK_MY,0.33,4.8,0,0,0
L8,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,30,2,DAJ_MK_MY,0.33,4.8,0,0,0
L9,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,30,3,DAJ_MK_MY,0.33,4.8,0,0,0
L10,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,30,1,DAJ_MK_MY,0.33,4.8,0,0,0
L11,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,30,2,DAJ_MK_MY,0.33,4.8,0,0,0
L12,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,30,3,DAJ_MK_MY,0.33,4.8,0,0,0
L13,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,30,1,DAJ_MK_MY,0.33,4.8,0,0,0
L14,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,30,2,DAJ_MK_MY,0.33,4.8,0,0,0
L15,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,30,3,DAJ_MK_MY,0.33,4.8,0,0,0
L16,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,30,1,DAJ_MK_MY,0.33,4.8,0,0,0
L17,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,30,2,DAJ_MK_MY,0.33,4.8,0,0,0
L18,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,30,3,DAJ_MK_MY,0.33,4.8,0,0,0
L19,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,30,1,DAJ_MK_MY,0.33,4.8,0,0,0
L20,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,30,2,DAJ_MK_MY,0.33,4.8,0,0,0
L21,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,30,3,DAJ_MK_MY,0.33,4.8,0,0,0
L22,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,45,1,DAJ_MK_MY,0.33,4.8,0,0,0
L23,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,45,2,DAJ_MK_MY,0.33,4.8,0,0,0
M2,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,0,45,3,DAJ_MK_MY,0.33,4.8,0,0,0
M3,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,45,1,DAJ_MK_MY,0.33,4.8,0,0,0
M4,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,45,2,DAJ_MK_MY,0.33,4.8,0,0,0
M5,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,2,45,3,DAJ_MK_MY,0.33,4.8,0,0,0
M6,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,45,1,DAJ_MK_MY,0.33,4.8,0,0,0
M7,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,45,2,DAJ_MK_MY,0.33,4.8,0,0,0
M8,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,4,45,3,DAJ_MK_MY,0.33,4.8,0,0,0
M9,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,45,1,DAJ_MK_MY,0.33,4.8,0,0,0
M10,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,45,2,DAJ_MK_MY,0.33,4.8,0,0,0
M11,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,6,45,3,DAJ_MK_MY,0.33,4.8,0,0,0
M12,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,45,1,DAJ_MK_MY,0.33,4.8,0,0,0
M13,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,45,2,DAJ_MK_MY,0.33,4.8,0,0,0
M14,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,8,45,3,DAJ_MK_MY,0.33,4.8,0,0,0
M15,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,45,1,DAJ_MK_MY,0.33,4.8,0,0,0
M16,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,45,2,DAJ_MK_MY,0.33,4.8,0,0,0
M17,3PGA,pOR1OR2-MGapt-deGFP,6,1,0,10,45,3,DAJ_MK_MY,0.33,4.8,0,0,0
M18,3PGA,pOR1OR2-MGapt-deGFP,6,0,0,0,0,1,DAJ_MK_MY,0.33,4.8,0,0,0
M19,3PGA,pOR1OR2-MGapt-deGFP,6,0,0,0,0,2,DAJ_MK_MY,0.33,4.8,0,0,0
M20,3PGA,pOR1OR2-MGapt-deGFP,6,0,0,0,0,3,DAJ_MK_MY,0.33,4.8,0,0,0
