Well,Fuel,Plasmid construct,DNA/mRNA batch,DNA (nM),mRNA (uM),Mg (mM),Fuel (mM),Replicate,Extract,Extract fraction,NTPs (mM),Added ATP (mM),Added GTP (mM),Tetratcycline (ug/mL)
B2,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,0,0,1,DAJ_MK_MY,0.33,4.8,0,0,200
B3,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,0,0,2,DAJ_MK_MY,0.33,4.8,0,0,200
B4,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,0,0,3,DAJ_MK_MY,0.33,4.8,0,0,200
B5,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,2,0,1,DAJ_MK_MY,0.33,4.8,0,0,200
B6,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,2,0,2,DAJ_MK_MY,0.33,4.8,0,0,200
B7,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,2,0,3,DAJ_MK_MY,0.33,4.8,0,0,200
B8,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,4,0,1,DAJ_MK_MY,0.33,4.8,0,0,200
B9,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,4,0,2,DAJ_MK_MY,0.33,4.8,0,0,200
B10,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,4,0,3,DAJ_MK_MY,0.33,4.8,0,0,200
B11,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,6,0,1,DAJ_MK_MY,0.33,4.8,0,0,200
B12,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,6,0,2,DAJ_MK_MY,0.33,4.8,0,0,200
B13,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,6,0,3,DAJ_MK_MY,0.33,4.8,0,0,200
B14,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,8,0,1,DAJ_MK_MY,0.33,4.8,0,0,200
B15,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,8,0,2,DAJ_MK_MY,0.33,4.8,0,0,200
B16,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,8,0,3,DAJ_MK_MY,0.33,4.8,0,0,200
B17,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,10,0,1,DAJ_MK_MY,0.33,4.8,0,0,200
B18,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,10,0,2,DAJ_MK_MY,0.33,4.8,0,0,200
B19,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,10,0,3,DAJ_MK_MY,0.33,4.8,0,0,200
B20,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,0,5,1,DAJ_MK_MY,0.33,4.8,0,0,200
B21,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,0,5,2,DAJ_MK_MY,0.33,4.8,0,0,200
B22,3PGA,pOR1OR2-MGapt-deGFP,6,5,0,0,5,3,DAJ_MK_MY,0.33,4.8,0,0,200
